Year,Transect,Interval,EDSU,Longitude,Latitude,Date,Time,Density,Biomass
2005,2,1,1,-82.89081242,41.56838528,20050729,0.083382986,2086,3.88
2005,2,2,2,-82.89106448,41.57042037,20050729,0.082615509,5828,10.84
2005,2,3,3,-82.89108187,41.57264363,20050729,0.081761111,4181,7.78
2005,2,4,4,-82.89106261,41.57486642,20050729,0.080888889,3902,7.26
2005,2,5,5,-82.89122013,41.57713072,20050729,0.080021181,4111,7.65
2005,2,6,6,-82.89125794,41.57934508,20050729,0.079167245,3429,6.38
2005,2,7,7,-82.8913502,41.58161431,20050729,0.078304167,2877,5.35
2005,2,8,8,-82.89137296,41.58384345,20050729,0.077435648,3946,7.34
2005,2,9,9,-82.89137167,41.58608333,20050729,0.076581481,2797,5.2
2005,2,10,10,-82.89145752,41.58833843,20050729,0.075713194,3166,5.89
2005,2,11,11,-82.89152903,41.59058005,20050729,0.074840509,3659,6.81
2005,2,12,12,-82.891715,41.59280475,20050729,0.07396875,4330,8.05
2005,2,13,13,-82.89181718,41.59506385,20050729,0.073100926,2108,3.92
2005,2,14,14,-82.89179333,41.59732,20050729,0.072229861,1980,3.68
2005,2,15,15,-82.89183162,41.59955334,20050729,0.071343634,1912,3.56
2005,2,16,16,-82.89196535,41.60178241,20050729,0.070461343,2787,5.18
2005,2,17,17,-82.8920451,41.6040597,20050729,0.069594097,2582,4.8
2005,2,18,18,-82.89213688,41.60628361,20050729,0.068732639,3527,6.56
2005,2,19,19,-82.8922731,41.60853736,20050729,0.067870602,6606,12.29
2005,2,20,20,-82.89240919,41.61077841,20050729,0.067009375,6429,11.96
2005,2,21,21,-82.89256,41.61301839,20050729,0.06614456,5888,10.95
2005,2,22,22,-82.89262643,41.61526619,20050729,0.06527963,5449,10.14
2005,2,23,23,-82.89272298,41.61752744,20050729,0.064412963,8042,14.96
2005,2,24,24,-82.8928615,41.61976627,20050729,0.06354294,6836,12.72
2005,2,25,25,-82.89302769,41.62202421,20050729,0.062674421,6480,12.05
2005,2,26,26,-82.893045,41.62425167,20050729,0.061813194,5948,11.06
2005,2,27,27,-82.89307275,41.6265023,20050729,0.060946644,6623,12.32
2005,2,28,28,-82.89317833,41.62874641,20050729,0.060080093,7314,13.6
2005,2,29,29,-82.89319368,41.63098413,20050729,0.059214931,7598,14.13
2005,2,30,30,-82.89326981,41.6332332,20050729,0.058353009,5942,11.05
2005,2,31,31,-82.89341814,41.635497,20050729,0.057490509,5208,9.69
2005,2,32,32,-82.89329844,41.63771507,20050729,0.056626273,4178,7.77
2005,2,33,33,-82.89332058,41.63997611,20050729,0.055760069,3760,6.99
2005,2,34,34,-82.8933364,41.642225,20050729,0.05489456,3649,6.79
2005,2,35,35,-82.89333871,41.6444633,20050729,0.05403206,3718,6.92
2005,2,36,36,-82.89334111,41.64671346,20050729,0.053163194,3405,6.33
2005,2,37,37,-82.89334333,41.64896892,20050729,0.052291435,3357,6.25
2005,2,38,38,-82.89334101,41.65122308,20050729,0.051415162,4692,8.73
2005,2,39,39,-82.89334207,41.65345178,20050729,0.050536806,2917,5.43
2005,2,40,40,-82.89335608,41.65571224,20050729,0.049657176,4677,8.7
2005,2,41,41,-82.89344333,41.65795306,20050729,0.048775694,4892,9.1
2005,2,42,42,-82.89335317,41.660189,20050729,0.04789375,5150,9.58
2005,2,43,43,-82.8933051,41.66244835,20050729,0.047010532,4333,8.06
2005,2,44,44,-82.89333129,41.66469602,20050729,0.046130556,3532,6.57
2005,2,45,45,-82.89347063,41.66693623,20050729,0.045253704,4434,8.25
2005,2,46,46,-82.8934711,41.66918833,20050729,0.044368866,5242,9.75
2005,2,47,47,-82.89377531,41.67141018,20050729,0.043478704,6121,11.39
2005,2,48,48,-82.8939857,41.67367636,20050729,0.042574653,6143,11.43
2005,2,49,49,-82.89414148,41.67587409,20050729,0.041664236,6627,12.33
2005,2,50,50,-82.89441167,41.67813606,20050729,0.040764352,6446,11.99
2005,2,51,51,-82.89449894,41.68037855,20050729,0.039871528,5544,10.31
2005,2,52,52,-82.89451072,41.68262631,20050729,0.038978241,3731,6.94
2005,2,53,53,-82.89455685,41.68487005,20050729,0.038089815,2423,4.51
2005,2,54,54,-82.89472571,41.68711121,20050729,0.037201389,3249,6.04
2005,2,55,55,-82.89476333,41.68937019,20050729,0.036315625,2509,4.67
2005,2,56,56,-82.89484869,41.69161302,20050729,0.035431829,5542,10.31
2005,2,57,57,-82.89492634,41.69385915,20050729,0.034540625,3017,5.61
2005,2,58,58,-82.89497667,41.696095,20050729,0.033644676,3219,5.99
2005,2,59,59,-82.89499903,41.69834919,20050729,0.032752199,4227,7.86
2005,2,60,60,-82.89476,41.70059291,20050729,0.031852778,4560,8.48
2005,2,61,61,-82.89468834,41.70280902,20050729,0.030948032,5407,10.06
2005,2,62,62,-82.89470745,41.70505867,20050729,0.030051852,4638,8.63
2005,2,63,63,-82.89471833,41.70730667,20050729,0.029152778,3263,6.07
2005,2,64,64,-82.894765,41.70956167,20050729,0.028248727,2596,4.83
2005,2,65,65,-82.89472844,41.71179851,20050729,0.027345023,2011,3.74
2005,2,66,66,-82.89455045,41.71404729,20050729,0.026435417,2585,4.81
2005,2,67,67,-82.89444569,41.71631808,20050729,0.025512153,2387,4.44
2005,2,68,68,-82.89449284,41.71854822,20050729,0.024555093,1838,3.42
